Date,Venue,Result,GF,GA,xG,xGA,Poss,Manager
2021-08-14,Away,L,2,3,1.2,1.2,62,Smith
2021-08-21,Home,W,2,0,1.2,0.7,47,Smith
2021-08-28,Home,D,1,1,0.7,0.9,46,Smith
2021-09-11,Away,L,0,3,1.2,1.3,43,Smith
2021-09-18,Home,W,3,0,0.8,0.7,55,Smith
2021-09-25,Away,W,1,0,1,2.2,41,Smith
2021-10-03,Away,L,1,2,1.2,1.3,44,Smith
2021-10-16,Home,L,2,3,1,2,48,Smith
2021-10-22,Away,L,1,3,1.4,2.7,47,Smith
2021-10-31,Home,L,1,4,0.7,2.3,43,Smith
2021-11-05,Away,L,0,1,0.6,0.6,44,Smith
2021-11-20,Home,W,2,0,0.7,0.4,38,Gerrard
2021-11-27,Away,W,2,1,0.5,1,36,Gerrard
2021-12-01,Home,L,1,2,0.8,1,36,Gerrard
2021-12-05,Home,W,2,1,2.1,1.1,41,Gerrard
2021-12-11,Away,L,0,1,0.2,2.2,38,Gerrard
2021-12-14,Away,W,2,0,2,0.5,50,Gerrard
2021-12-26,Home,L,1,3,0.4,2.6,42,Gerrard
2022-01-02,Away,L,1,2,0.8,0.6,55,Gerrard
2022-01-15,Home,D,2,2,1.9,1,54,Gerrard
2022-01-22,Away,W,1,0,0.8,1.6,50,Gerrard
2022-02-09,Home,D,3,3,1.6,1.8,40,Gerrard
2022-02-13,Away,L,0,1,0.6,0.5,62,Gerrard
2022-02-19,Home,L,0,1,1.3,1.2,59,Gerrard
2022-02-26,Away,W,2,0,1,0.7,34,Gerrard
2022-03-05,Home,W,4,0,2.5,1.1,38,Gerrard
2022-03-10,Away,W,3,0,1.5,0.2,49,Gerrard
2022-03-13,Away,L,1,2,1.1,1.2,53,Gerrard
2022-03-19,Home,L,0,1,0.5,1.3,47,Gerrard
2022-04-02,Away,L,1,2,2.1,1.3,51,Gerrard
2022-04-09,Home,L,0,4,1.6,1.1,52,Gerrard
2022-04-23,Away,D,0,0,0.9,0.3,36,Gerrard
2022-04-30,Home,W,2,0,1.8,0.5,45,Gerrard
2022-05-07,Away,W,3,1,2.1,1.9,51,Gerrard
2022-05-10,Home,L,1,2,1.4,1.8,40,Gerrard
2022-05-15,Home,D,1,1,1,1.4,49,Gerrard
2022-05-19,Home,D,1,1,1.5,1.6,71,Gerrard
2022-05-22,Away,L,2,3,0.2,3.4,29,Gerrard
2022-08-06,Away,L,0,2,0.7,0.6,65,Gerrard
2022-08-13,Home,W,2,1,2.3,1.6,57,Gerrard
2022-08-20,Away,L,1,3,0.9,2.6,49,Gerrard
2022-08-28,Home,L,0,1,0.5,0.6,58,Gerrard
2022-08-31,Away,L,1,2,0.4,2.4,41,Gerrard
2022-09-03,Home,D,1,1,0.3,2.1,29,Gerrard
2022-09-16,Home,W,1,0,1.5,0.3,53,Gerrard
2022-10-02,Away,D,0,0,2.2,0.4,56,Gerrard
2022-10-10,Away,D,1,1,0.7,0.3,60,Gerrard
2022-10-16,Home,L,0,2,1.8,0.9,42,Gerrard
2022-10-20,Away,L,0,3,1.2,2.1,40,Gerrard
2022-10-23,Home,W,4,0,2.8,0.9,45,Emery
2022-10-29,Away,L,0,4,0.4,3.4,41,Emery
2022-11-06,Home,W,3,1,0.6,0.5,42,Emery
2022-11-13,Away,W,2,1,1.5,0.6,35,Emery
2022-12-26,Home,L,1,3,1.4,2.7,48,Emery
2023-01-01,Away,W,2,0,1,0.7,41,Emery
2023-01-04,Home,D,1,1,1.8,0.9,56,Emery
2023-01-13,Home,W,2,1,1.2,2.4,52,Emery
2023-01-21,Away,W,1,0,1.4,0.6,63,Emery
2023-02-04,Home,L,2,4,1.7,2.6,62,Emery
2023-02-12,Away,L,1,3,0.3,3.3,33,Emery
2023-02-18,Home,L,2,4,0.5,3.2,33,Emery
2023-02-25,Away,W,2,0,1.9,1.6,53,Emery
2023-03-04,Home,W,1,0,1.2,0.2,58,Emery
2023-03-12,Away,D,1,1,1.5,2.1,59,Emery
2023-03-18,Home,W,3,0,3.5,1.3,56,Emery
2023-04-01,Away,W,2,0,0.9,2.1,31,Emery
2023-04-04,Away,W,2,1,1,0.5,64,Emery
2023-04-08,Home,W,2,0,1.3,0.2,63,Emery
2023-04-15,Home,W,3,0,1.9,0.5,52,Emery
2023-04-22,Away,D,1,1,1.5,2.7,56,Emery
2023-04-25,Home,W,1,0,1,0.1,51,Emery
