Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
13,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,28-291,1994,5,0,0,0,0.6,1.4,1.2,2.6,0.2,0.8,0,0,0,5.4,1.2,2.8,30,Matches,0a3f6cde
32,Kevin Behrens,de GER,FW,Union Berlin,31-295,1991,5,0.2,0,0,2.2,1.6,0.2,0.4,0.4,0.4,0,0,0,2.4,12,9.8,55,Matches,30ae134d
131,Josuha Guilavogui,fr FRA,MFDF,Wolfsburg,32-067,1990,5,0.2,0,0,3,1,0.4,0,1.6,1,0,0,0,6.2,3.4,2.2,60.7,Matches,e6c43eec
165,Marcus Ingvartsen,dk DEN,FWMF,Mainz 05,26-325,1996,5.1,0,0,0,2.16,1.37,0.98,0.39,0.2,0,0,0,0,2.55,2.16,4.9,30.6,Matches,271b8617
141,Amadou Haidara,ml MLI,MF,RB Leipzig,24-298,1998,5.2,0.38,0,0,1.54,0.58,0,0.38,0.96,0.38,0,0.19,0,7.31,0.96,2.31,29.4,Matches,92432bc6
145,Thorgan Hazard,be BEL,FWDF,Dortmund,29-241,1993,5.2,0.19,0,0,2.69,0.96,0.77,7.12,0.96,1.15,0,0,0,8.46,0.77,1.54,33.3,Matches,50871bcc
224,Christopher Lenz,de GER,DF,Eint Frankfurt,28-064,1994,5.2,0,0,0,1.15,0.96,0,6.35,1.73,1.73,0,0,0,6.73,0.77,0.38,66.7,Matches,bbd86530
266,Florian Neuhaus,de GER,MF,M'Gladbach,25-254,1997,5.2,0,0,0,0.77,1.15,0,0.77,0.96,0,0,0,0,4.04,0,0.77,0,Matches,36a59ba4
311,Sebastian Polter,de GER,FWMF,Schalke 04,31-238,1991,5.2,0.38,0,0,3.65,1.35,0.38,0.38,0,0.58,0,0,0,3.85,5,4.23,54.2,Matches,3745e8bd
428,Jeong Woo-yeong,kr KOR,MFFW,Freiburg,23-066,1999,5.2,0.19,0,0,1.73,0.96,0.19,1.54,0.19,0.38,0.19,0,0,3.46,0.58,2.12,21.4,Matches,6190474d
149,Lucas Hernández,fr FRA,DF,Bayern Munich,26-284,1996,5.3,0.19,0,0,0.75,0.75,0,0.38,0.94,0.75,0,0,0,6.23,0.75,0.38,66.7,Matches,c3ee18ef
161,Callum Hudson-Odoi,eng ENG,FWMF,Leverkusen,22-018,2000,5.3,0,0,0,0.38,3.4,0.19,1.89,0.38,0.38,0,0,0,3.77,0,0.57,0,Matches,15f3ec41
218,Vassilis Lambropoulos,gr GRE,DF,Bochum,32-239,1990,5.3,0.19,0,0,0.94,0.94,0,0,1.89,1.13,0,0.38,0,4.91,1.7,2.26,42.9,Matches,591477c9
2,Karim Adeyemi,de GER,FWMF,Dortmund,20-311,2002,5.4,0.56,0,0,1.3,1.67,0,1.3,0.74,0.37,0,0,0,3.7,1.11,0.19,85.7,Matches,501055d8
188,Atakan Karazor,de GER,MF,Stuttgart,26-043,1996,5.4,0.93,0,0,1.67,1.48,0,0,1.3,1.85,0,0,0,8.52,1.3,1.11,53.8,Matches,5762be5c
343,Kingsley Schindler,de GER,DFMF,Köln,29-136,1993,5.4,0.56,0,0,1.3,0.74,0.19,2.96,1.3,1.3,0,0,0,5.37,2.22,0.93,70.6,Matches,bd527260
391,Jan Thielmann,de GER,FW,Köln,20-183,2002,5.4,0.37,0,0,0.74,2.04,0.74,2.78,0.56,1.3,0.19,0,0,3.52,0.93,2.22,29.4,Matches,fd53759d
407,Ruben Vargas,ch SUI,MFFW,Augsburg,24-112,1998,5.4,0.19,0,0,1.48,1.67,0.37,2.78,0.56,0.37,0.19,0,0,6.48,1.48,2.04,42.1,Matches,6ecbddf6
14,Charles Aránguiz,cl CHI,MF,Leverkusen,33-222,1989,5.5,0.18,0,0,1.27,1.82,0,2.18,1.27,1.27,0,0,0,6,0.36,1.27,22.2,Matches,56413b1f
108,Angelo Fulgini,fr FRA,MFDF,Mainz 05,26-097,1996,5.5,0,0,0,1.27,2.18,0.18,1.27,0.91,0.91,0,0,0,4.91,0.73,1.45,33.3,Matches,4b96c347
280,Jordi Osei-Tutu,eng ENG,FWDF,Bochum,24-054,1998,5.5,0.18,0,0,0.73,2,0.55,1.45,0.73,2.36,0,0,0,5.45,0.36,1.82,16.7,Matches,0a16eb36
406,Josha Vagnoman,de GER,DFMF,Stuttgart,21-349,2000,5.6,0.36,0.18,0.18,1.07,0.36,0,1.61,1.07,0.36,0,0,0,3.39,1.61,0.36,81.8,Matches,fb377d11
98,Florian Flick,de GER,MF,Schalke 04,22-208,2000,5.7,0.18,0,0,1.05,0.7,0,0.18,0.7,0.53,0,0,0,5.61,2.46,1.23,66.7,Matches,9642c929
423,Patrick Wimmer,at AUT,FWMF,Wolfsburg,21-179,2001,5.7,0.35,0,0,2.81,1.4,0,3.68,0.7,1.58,0,0,0,3.86,1.4,0.88,61.5,Matches,cb11b429
427,Marius Wolf,de GER,DFFW,Dortmund,27-182,1995,5.7,0.18,0,0,1.05,1.4,0.53,3.51,1.4,0.88,0,0,0,5.79,0.7,0.35,66.7,Matches,fa661778
205,Odilon Kossonou,ci CIV,DF,Leverkusen,21-325,2001,5.8,0,0,0,0.52,0.34,0.17,0.52,0.86,0.86,0,0,0,6.9,2.07,1.38,60,Matches,1f3afdcb
244,Eric Maxim Choupo-Moting,cm CMR,FW,Bayern Munich,33-247,1989,5.8,0,0,0,0.34,0.69,0.34,0.17,0,0.69,0,0,0,2.41,1.72,1.9,47.6,Matches,0e6bc38c
53,Jonathan Burkardt,de GER,MFFW,Mainz 05,22-137,2000,5.9,0.34,0,0,1.02,1.86,0.51,1.86,0.17,0.17,0.34,0,0,2.2,1.36,2.54,34.8,Matches,05f99a4a
66,Kingsley Coman,fr FRA,FWMF,Bayern Munich,26-165,1996,5.9,0.34,0.17,0.17,0.68,1.69,0.51,3.39,0,0.85,0.17,0,0,4.24,0.51,0.51,50,Matches,042e8a49
84,Danilho Doekhi,nl NED,DF,Union Berlin,24-148,1998,5.9,0,0,0,0.68,0.51,0,0.34,1.69,1.53,0.17,0,0,3.73,2.2,2.03,52,Matches,f67c9d29
233,Arne Maier,de GER,MF,Augsburg,23-321,1999,5.9,0,0,0,1.19,0.68,0,3.39,0.34,0.85,0,0,0,5.59,0.51,1.36,27.3,Matches,ab700320
276,Dani Olmo,es ESP,MF,RB Leipzig,24-202,1998,5.9,0,0,0,1.19,3.22,0,1.19,0.34,0.68,0,0,0,5.93,0.51,1.19,30,Matches,ae44e8e2
323,Marco Richter,de GER,MFFW,Hertha BSC,25-001,1997,5.9,0.51,0,0,2.03,2.71,0.51,2.37,1.19,0.68,0,0,0,7.63,0.34,0.85,28.6,Matches,f972644c
133,Péter Gulácsi,hu HUN,GK,RB Leipzig,32-203,1990,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,bcb2ccd8
229,Dejan Ljubicic,at AUT,MF,Köln,25-048,1997,6.2,0.16,0,0,1.13,0.65,0.16,1.61,0.81,1.13,0,0,0,6.29,0.16,1.13,12.5,Matches,c455a2b2
245,Noussair Mazraoui,ma MAR,DF,Bayern Munich,25-011,1997,6.2,0,0,0,1.61,0.81,0.16,1.45,0.97,1.94,0,0,0,4.03,1.29,1.45,47.1,Matches,b74277a0
300,Luca Pellegrini,it ITA,DF,Eint Frankfurt,23-263,1999,6.2,0.16,0,0,1.29,1.29,0,8.71,1.13,1.29,0,0,0,8.55,0.81,0.48,62.5,Matches,3b61c9ec
373,Jens Stage,dk DEN,MF,Werder Bremen,26-017,1996,6.2,0,0,0,0.65,1.29,0,0.48,1.77,0.81,0,0,0,4.68,1.45,1.61,47.4,Matches,1fffae99
404,Filip Uremović,hr CRO,DF,Hertha BSC,25-287,1997,6.2,0.65,0.16,0.16,1.45,0.65,0,0,2.42,0.65,0,0.16,0,5.32,3.06,2.42,55.9,Matches,af842091
246,Thomas Meunier,be BEL,DF,Dortmund,31-074,1991,6.3,0.32,0,0,1.9,0.63,0.16,2.38,1.43,1.11,0,0,0,6.67,1.11,0.48,70,Matches,e162b013
287,Exequiel Palacios,ar ARG,MF,Leverkusen,24-051,1998,6.3,0.16,0,0,1.27,1.75,0.16,0.63,2.06,1.75,0,0,0,8.89,1.11,0.63,63.6,Matches,e82adcab
39,Leonardo Bittencourt,de GER,MF,Werder Bremen,28-341,1993,6.4,0.47,0,0,2.81,1.88,0.31,1.41,1.09,1.41,0,0,0,7.34,0.16,0.94,14.3,Matches,dc62fbee
42,Jean-Paul Boëtius,nl NED,MFFW,Hertha BSC,28-248,1994,6.4,0.31,0,0,0.78,2.5,0,0.47,0.94,1.25,0,0,0,6.41,0.47,1.56,23.1,Matches,635f2732
152,Adam Hložek,cz CZE,FWMF,Leverkusen,20-123,2002,6.4,0.16,0,0,1.25,1.41,0.16,2.19,0.31,0.31,0,0,0,2.19,0.94,2.66,26.1,Matches,5521f419
99,Emil Forsberg,se SWE,MFFW,RB Leipzig,31-033,1991,6.5,0.31,0,0,1.38,1.23,0.15,0.92,0,0.77,0,0,0,2.92,0.62,0.92,40,Matches,9a2e0ccc
257,Thomas Müller,de GER,FWMF,Bayern Munich,33-073,1989,6.5,0,0,0,0.15,0.62,0.77,1.85,0.46,0.46,0,0,0,3.69,1.85,0.92,66.7,Matches,3c6089ab
325,Sebastian Rode,de GER,MF,Eint Frankfurt,32-045,1990,6.6,0.3,0,0,1.52,1.67,0,0.45,0.76,1.67,0,0,0,5.91,0.61,0.61,50,Matches,e12b0b5b
178,Pavel Kadeřábek,cz CZE,DFFW,Hoffenheim,30-214,1992,6.7,0,0,0,1.19,1.19,0.15,4.78,0.75,0.9,0,0,0,5.37,1.04,1.19,46.7,Matches,79c90e45
