Player,Nation,Pos,Squad,Age,Born,Gls,xGp90
Brenden Aaronson,us USA,MFFW,Leeds United,22-187,2000,1,0.14
Che Adams,sct SCO,FW,Southampton,26-288,1996,5,0.28
Tyler Adams,us USA,MF,Leeds United,24-072,1999,0,0
Tosin Adarabioyo,eng ENG,DF,Fulham,25-215,1997,1,0.02
Nayef Aguerd,ma MAR,DF,West Ham,27-028,1996,1,0.1
Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-029,2002,0,0.15
Rayan Aït Nouri,dz ALG,DF,Wolves,21-325,2001,1,0.06
Kristoffer Ajer,no NOR,DF,Brentford,25-010,1998,0,0
Manuel Akanji,ch SUI,DF,Manchester City,27-282,1995,0,0.05
Nathan Aké,nl NED,DF,Manchester City,28-068,1995,0,0.05
Marc Albrighton,eng ENG,FWMF,Leicester City,33-160,1989,1,0.13
Thiago Alcántara,es ESP,MF,Liverpool,32-016,1991,0,0.03
Carlos Alcaraz,ar ARG,MFFW,Southampton,20-148,2002,3,0.16
Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-202,1998,1,0.07
Alisson,br BRA,GK,Liverpool,30-207,1992,0,0
Dele Alli,eng ENG,MF,Everton,27-016,1996,0,0
Miguel Almirón,py PAR,FW,Newcastle Utd,29-076,1994,11,0.28
Julián Álvarez,ar ARG,FWMF,Manchester City,23-086,2000,7,0.51
Daniel Amartey,gh GHA,DF,Leicester City,28-127,1994,0,0.06
Joachim Andersen,dk DEN,DF,Crystal Palace,26-331,1996,1,0.06
Elliot Anderson,sct SCO,FWMF,Newcastle Utd,20-172,2002,0,0.35
Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-147,1999,3,0.18
Michail Antonio,jm JAM,FW,West Ham,33-030,1990,4,0.29
Antony,br BRA,FW,Manchester Utd,23-062,2000,4,0.32
Cameron Archer,eng ENG,FWMF,Aston Villa,21-280,2001,0,0
Alphonse Areola,fr FRA,GK,West Ham,30-059,1993,0,0
Joe Aribo,ng NGA,MFFW,Southampton,26-280,1996,2,0.12
