Player,Nation,Pos,Squad,Born,Gls,xGp90
Brenden Aaronson,us USA,MFFW,Leeds United,2000,1,0.14
Che Adams,sct SCO,FW,Southampton,1996,5,0.28
Tyler Adams,us USA,MF,Leeds United,1999,0,0
Tosin Adarabioyo,eng ENG,DF,Fulham,1997,1,0.02
Nayef Aguerd,ma MAR,DF,West Ham,1996,1,0.1
Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,2002,0,0.15
Rayan Aït Nouri,dz ALG,DF,Wolves,2001,1,0.06
Kristoffer Ajer,no NOR,DF,Brentford,1998,0,0
Manuel Akanji,ch SUI,DF,Manchester City,1995,0,0.05
Nathan Aké,nl NED,DF,Manchester City,1995,0,0.05
Marc Albrighton,eng ENG,FWMF,Leicester City,1989,1,0.13
Thiago Alcántara,es ESP,MF,Liverpool,1991,0,0.03
Carlos Alcaraz,ar ARG,MFFW,Southampton,2002,3,0.16
Trent Alexander-Arnold,eng ENG,DF,Liverpool,1998,1,0.07
Alisson,br BRA,GK,Liverpool,1992,0,0
Dele Alli,eng ENG,MF,Everton,1996,0,0
Miguel Almirón,py PAR,FW,Newcastle Utd,1994,11,0.28
Julián Álvarez,ar ARG,FWMF,Manchester City,2000,7,0.51
Daniel Amartey,gh GHA,DF,Leicester City,1994,0,0.06
Joachim Andersen,dk DEN,DF,Crystal Palace,1996,1,0.06
Elliot Anderson,sct SCO,FWMF,Newcastle Utd,2002,0,0.35
Jaidon Anthony,eng ENG,MFFW,Bournemouth,1999,3,0.18
Michail Antonio,jm JAM,FW,West Ham,1990,4,0.29
Antony,br BRA,FW,Manchester Utd,2000,4,0.32
Cameron Archer,eng ENG,FWMF,Aston Villa,2001,0,0
Alphonse Areola,fr FRA,GK,West Ham,1993,0,0
Joe Aribo,ng NGA,MFFW,Southampton,1996,2,0.12
Adam Armstrong,eng ENG,FW,Southampton,1997,1,0.12
Stuart Armstrong,sct SCO,MFFW,Southampton,1992,1,0.13
Kepa Arrizabalaga,es ESP,GK,Chelsea,1994,0,0
Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,1989,1,0.26
Ludwig Augustinsson,se SWE,DF,Aston Villa,1994,0,0.1
Serge Aurier,ci CIV,DF,Nott'ham Forest,1992,1,0.04
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,1997,4,0.48
Yasin Ayari,se SWE,MF,Brighton,2003,0,0.19
André Ayew,gh GHA,FWMF,Nott'ham Forest,1989,0,0.34
Jordan Ayew,gh GHA,FWMF,Crystal Palace,1991,3,0.11
Luke Ayling,eng ENG,DF,Leeds United,1991,1,0.12
César Azpilicueta,es ESP,DF,Chelsea,1989,0,0.03
Benoît Badiashile,fr FRA,DF,Chelsea,2001,0,0.1
Leon Bailey,jm JAM,FWMF,Aston Villa,1997,4,0.25
Stefan Bajcetic,es ESP,MF,Liverpool,2004,1,0.13
Patrick Bamford,eng ENG,FW,Leeds United,1993,3,0.5
Shandon Baptiste,gd GRN,MF,Brentford,1998,0,0.06
Harvey Barnes,eng ENG,FWMF,Leicester City,1997,10,0.3
Gavin Bazunu,ie IRL,GK,Southampton,2002,0,0
Mads Bech Sørensen,dk DEN,DFMF,Brentford,1999,0,0
Jan Bednarek,pl POL,DF,Southampton,1996,0,0.03
Jan Bednarek,pl POL,DF,Aston Villa,1996,0,0
Donny van de Beek,nl NED,MF,Manchester Utd,1997,0,0.05
Asmir Begović,ba BIH,GK,Everton,1987,0,0
Armel Bella Kotchap,de GER,DF,Southampton,2001,0,0.05
Saïd Benrahma,dz ALG,FWMF,West Ham,1995,5,0.33
Rodrigo Bentancur,uy URU,MF,Tottenham,1997,5,0.13
Victor Bernth Kristiansen,dk DEN,DF,Leicester City,2002,0,0.01
Owen Bevan,wls WAL,DF,Bournemouth,2003,0,0
Giulian Biancone,fr FRA,DF,Nott'ham Forest,2000,0,0
Philip Billing,dk DEN,MFFW,Bournemouth,1996,7,0.14
Yves Bissouma,ml MLI,MF,Tottenham,1996,0,0.02
Willy Boly,ci CIV,DF,Nott'ham Forest,1991,0,0
Sven Botman,nl NED,DF,Newcastle Utd,2000,0,0.05
Jarrod Bowen,eng ENG,FWMF,West Ham,1996,5,0.25
James Bree,eng ENG,DF,Southampton,1997,0,0
Armando Broja,al ALB,FW,Chelsea,2001,1,0.26
David Brooks,wls WAL,DFFW,Bournemouth,1997,0,0.11
Lewis Brunt,eng ENG,DF,Leicester City,2000,0,0
Bryan,es ESP,MFFW,Tottenham,2001,0,0.06
Emi Buendía,ar ARG,MFFW,Aston Villa,1996,5,0.24
Hugo Bueno,es ESP,DF,Wolves,2002,0,0.01
Facundo Buonanotte,ar ARG,MFFW,Brighton,2004,1,0.53
Dan Burn,eng ENG,DF,Newcastle Utd,1992,0,0.05
Cafú,pt POR,MF,Nott'ham Forest,1993,0,0
Moisés Caicedo,ec ECU,MF,Brighton,2001,1,0.05
Tom Cairney,sct SCO,MF,Fulham,1991,0,0.11
Duje Ćaleta-Car,hr CRO,DF,Southampton,1996,1,0.08
