Date,Venue,SoTA,GA,Saves,Save%,PSxG,PSxG-GA
2022-08-06,Away,3,2,1,33.3,0.5,-1.5
2022-08-13,Home,4,1,4,75,0.9,-0.1
2022-08-20,Away,9,3,5,66.7,3.9,0.9
2022-08-28,Home,2,1,1,50,0.1,-0.9
2022-08-31,Away,8,2,6,75,2.2,0.2
2022-09-03,Home,4,1,3,75,1.1,0.1
2022-09-16,Home,1,0,1,100,0.1,0.1
2022-10-02,Away,1,0,1,100,0,0
2022-10-10,Away,3,1,2,66.7,0.5,-0.5
2022-10-16,Home,4,2,2,50,1.3,-0.7
2022-10-20,Away,7,3,5,71.4,2.5,-0.5
2022-10-23,Home,3,0,3,100,0.9,0.9
2022-10-29,Away,1,,1,,0.1,0.1
2022-11-06,Home,3,1,3,66.7,0.4,-0.6
2022-11-13,Away,2,1,1,50,0.3,-0.7
2023-01-04,Home,3,1,2,66.7,0.6,-0.4
2023-01-13,Home,3,1,2,66.7,1.8,0.8
2023-01-21,Away,5,0,5,100,1.2,1.2
2023-02-04,Home,5,4,1,20,2.3,-1.7
2023-02-12,Away,8,3,5,75,3,0
2023-02-18,Home,5,4,2,20,1.4,-2.6
2023-02-25,Away,4,0,4,100,0.6,0.6
2023-03-04,Home,0,0,0,,0,0
2023-03-12,Away,5,1,4,100,1.2,0.2
2023-03-18,Home,3,0,3,100,0.8,0.8
2023-04-01,Away,7,0,7,100,1.9,1.9
2023-04-04,Away,4,1,3,75,1.2,0.2
2023-04-08,Home,2,0,2,100,0.3,0.3
2023-04-15,Home,2,0,2,100,0.2,0.2
2023-04-22,Away,2,,2,,0.2,0.2
2023-04-25,Home,0,0,0,,0,0
2023-04-30,Away,6,1,5,83.3,1.3,0.3
,,119,34,88,73.3,32.8,-1.2
