Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
162,Sofiane Diop,fr FRA,MFFW,Nice,22-169,2000,5,0,0,0,0.4,1.4,0.2,2.4,0.8,1.2,0,0,0,7.2,1,0.4,71.4,Matches,1.91E+35
400,Fabián Ruiz Peña,es ESP,MF,Paris S-G,26-236,1996,5,0,0,0,1.2,1,0.2,0,0.6,1.2,0,0,0,8.2,0.2,0.2,50,Matches,c0c7ff58
474,Christopher Wooh,cm CMR,DF,Rennes,21-068,2001,5,0.2,0,0,1,1,0,0.2,0.4,0,0.2,0,0,5,1.6,0.8,66.7,Matches,b003239d
130,Colin Dagba,fr FRA,DF,Strasbourg,24-077,1998,5.1,0.2,0,0,1.57,0.98,0,4.31,1.96,1.57,0,0,0,4.71,0.39,0.59,40,Matches,29c02c9f
266,Youssouf Koné,ml MLI,DF,Ajaccio,27-143,1995,5.1,0.59,0,0,1.37,1.57,0,2.55,1.37,2.35,0,0,0,6.47,0,0.98,0,Matches,e6eadfb8
433,Kevin Spadanuda,ch SUI,MFFW,Ajaccio,25-313,1997,5.1,0.39,0,0,2.35,1.57,0.2,0.39,0.98,0.78,0,0,0,6.27,0.2,2.16,8.3,Matches,a45a5d95
121,Abdu Conté,pt POR,DF,Troyes,24-246,1998,5.2,0,0,0,1.54,0.58,0.19,3.08,0.19,1.73,0,0.38,0,4.42,0.96,0.58,62.5,Matches,cfa49cc1
371,Dimitri Payet,fr FRA,MFFW,Marseille,35-241,1987,5.2,0,0,0,0.38,1.92,0.19,6.54,0,0.38,0,0,0,5,0.19,0,100,Matches,58ae47b2
460,Chimuanya Ugochukwu,fr FRA,MF,Rennes,18-244,2004,5.2,0,0.19,0,2.12,0.58,0,0.19,1.15,1.54,0,0,0,5.38,1.73,0.19,90,Matches,1df4a109
343,Bevic Moussiti-Oko,cg CGO,FW,Ajaccio,27-301,1995,5.4,0,0,0,1.85,2.22,0.19,0.37,0.19,0.19,0,0,0,2.96,6.11,5.74,51.6,Matches,71d10572
264,Sead Kolašinac,ba BIH,DF,Marseille,29-158,1993,5.5,0.18,0,0,2.91,0.36,0.36,0.18,2.55,1.82,0,0,0,6.73,0.73,0.91,44.4,Matches,3935e52e
