Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-034,2000,13.2,0.15,0,0,0.61,2.12,0.23,3.18,0.08,0.45,0,0,0,5.15,0.45,1.29,26.1,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-135,1996,11.8,0,0,0,1.53,1.02,0.42,0.59,0.25,0.76,0,0,0,2.03,2.71,5.25,34,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,23-284,1999,13,0.31,0.08,0.08,1.92,0.92,0,0.15,1.23,2.15,0,0,0,8,0.69,0.54,56.3,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-062,1997,10,0,0,0,0.6,0.2,0,0.1,1.1,0.4,0,0,0,4,2.2,0.5,81.5,Matches,c81d773d
6,Rayan Aït Nouri,fr FRA,DF,Wolves,21-172,2001,7.4,0.14,0,0,1.22,0.81,0.14,2.03,0.41,1.35,0,0.14,0.14,4.86,0.95,1.35,41.2,Matches,9b398aea
7,Kristoffer Ajer,no NOR,DF,Brentford,24-222,1998,5.6,0,0,0,0.54,1.25,0,0.71,0.89,1.25,0,0.18,0,4.82,1.43,1.25,53.3,Matches,a8c0acb7
8,Manuel Akanji,ch SUI,DF,Manchester City,27-129,1995,7.8,0.13,0,0,1.03,0.38,0,0,0.64,1.15,0,0,0,5.13,0.9,2.05,30.4,Matches,89ac64a6
9,Nathan Aké,nl NED,DF,Manchester City,27-280,1995,6.3,0,0,0,0.32,0.63,0.16,0.32,0.79,0.48,0,0,0,3.81,2.06,1.59,56.5,Matches,eaeca114
11,Thiago Alcántara,es ESP,MF,Liverpool,31-228,1991,7.2,0.14,0,0,1.25,1.94,0,0.14,1.25,1.81,0,0.14,0,7.5,1.39,1.81,43.5,Matches,77e84962
12,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-049,1998,11,0.18,0,0,0.55,0.09,0.18,9.18,1.18,1.18,0,0,0,8.27,0.73,0.45,61.5,Matches,cd1acf9d
13,Alisson,br BRA,GK,Liverpool,30-054,1992,14,0,0,0,0.07,0,0,0,0,0,0,0,0,2,0.29,0.07,80,Matches,7a2e46a8
15,Miguel Almirón,py PAR,FW,Newcastle Utd,28-288,1994,13.9,0,0,0,0.65,0.94,0.43,1.08,0.14,1.01,0,0,0,4.75,0.29,0.22,57.1,Matches,862a1c15
17,Daniel Amartey,gh GHA,DF,Leicester City,27-339,1994,10.2,0,0,0,0.39,0.29,0,0,0.69,0.49,0,0,0,5.98,1.86,1.86,50,Matches,1a4ef233
18,Joachim Andersen,dk DEN,DF,Crystal Palace,26-178,1996,13,0.15,0,0,1.08,0.77,0,0.31,1,0.38,0,0,0,6,2.54,0.85,75,Matches,e34fc66d
21,Michail Antonio,jm JAM,FW,West Ham,32-242,1990,6.7,0.15,0,0,1.64,2.09,1.04,1.49,0.3,0.3,0,0,0,1.64,2.39,3.73,39,Matches,ac05f970
22,Antony,br BRA,FWMF,Manchester Utd,22-274,2000,5.5,0.18,0,0,0.36,1.27,0,2,0.55,0.36,0,0,0,3.64,0.36,0.91,28.6,Matches,99127249
25,Joe Aribo,ng NGA,MFFW,Southampton,26-127,1996,10.5,0.1,0,0,0.67,0.95,0,0.57,0.48,1.81,0,0,0,5.52,2.19,2.95,42.6,Matches,328f7d51
26,Adam Armstrong,eng ENG,FW,Southampton,25-288,1997,9.7,0,0,0,0.82,0.52,0.1,1.24,0.21,0.41,0,0,0,3.71,0.21,1.34,13.3,Matches,68c720b5
27,Stuart Armstrong,sct SCO,MFFW,Southampton,30-240,1992,7.7,0.26,0,0,0.91,1.43,0.13,1.95,0.39,0.91,0,0,0,5.19,0.65,0.65,50,Matches,97333cf5
28,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-053,1994,5.5,0,0,0,0,0.36,0,0,0,0.36,0,0,0,1.82,0.55,0.18,75,Matches,28d596a0
31,Serge Aurier,ci CIV,DF,Nott'ham Forest,29-336,1992,5.9,0.17,0,0,0.51,1.53,0,2.88,1.02,2.2,0,0,0,4.75,2.03,0.68,75,Matches,5c2b4f07
32,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-105,1997,5.7,0,0,0,1.05,1.23,1.23,0.18,0.18,0.7,0,0,0,3.51,1.05,4.21,20,Matches,e5478b87
33,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-075,1991,10,0.1,0,0,2.2,2.9,0,1.5,0.3,1.9,0,0,0,5.5,2.2,3.3,40,Matches,da052c14
35,César Azpilicueta,es ESP,DF,Chelsea,33-089,1989,7.5,0.27,0,0,1.47,0.4,0,1.47,1.6,1.33,0,0,0,4.13,2.13,1.73,55.2,Matches,53cad200
36,Leon Bailey,jm JAM,FWMF,Aston Villa,25-108,1997,9.2,0.43,0,0,1.63,0.76,0.54,5.22,0.22,0.33,0,0,0,2.93,1.3,3.26,28.6,Matches,3a233281
40,Harvey Barnes,eng ENG,MF,Leicester City,24-351,1997,12.1,0,0,0,0.91,1.16,0.08,1.24,0.17,0.66,0,0,0,3.22,0.91,1.98,31.4,Matches,3ea50f67
41,Gavin Bazunu,ie IRL,GK,Southampton,20-278,2002,15,0,0,0,0,0,0,0,0.07,0,0,0,0,1.27,0.47,0,100,Matches,c91441dc
47,Armel Bella Kotchap,de GER,DF,Southampton,20-349,2001,10,0.1,0,0,0.4,1.6,0,0.3,2.6,0.6,0,0,0,7.5,2.4,1.2,66.7,Matches,a39d11bc
48,Saïd Benrahma,dz ALG,FWMF,West Ham,27-107,1995,8.3,0,0,0,0.36,0.72,0.36,3.13,0.36,0.36,0,0,0,4.94,0.12,0.36,25,Matches,5a04fd92
49,Rodrigo Bentancur,uy URU,MF,Tottenham,25-153,1997,13.1,0.38,0,0,1.53,0.38,0,1.22,1.37,1.6,0,0,0,7.94,0.92,0.76,54.5,Matches,3b8674e6
52,Philip Billing,dk DEN,MFFW,Bournemouth,26-167,1996,12.6,0.08,0,0,0.87,1.03,0.24,1.03,0.79,1.35,0,0,0,4.29,2.06,1.11,65,Matches,d328a254
53,Yves Bissouma,ml MLI,MF,Tottenham,26-087,1996,6.7,0.45,0,0,1.49,0.9,0,0.15,1.19,1.04,0,0,0,5.97,0.15,0.6,20,Matches,6c203af0
55,Sven Botman,nl NED,DF,Newcastle Utd,22-317,2000,11.7,0,0,0,0.43,0.26,0,0,0.94,0.77,0,0,0,4.44,2.14,0.77,73.5,Matches,ccce7025
56,Jarrod Bowen,eng ENG,FW,West Ham,25-340,1996,14.9,0,0,0,0.4,1.88,0.4,3.96,0.74,0.67,0.07,0,0,4.03,0.74,1.74,29.7,Matches,79c84d1c
59,Emi Buendía,ar ARG,FWMF,Aston Villa,25-335,1996,8.1,0,0,0,1.48,1.85,0.12,1.36,0.62,1.11,0,0,0,6.05,1.11,1.85,37.5,Matches,66b76d44
60,Hugo Bueno,es ESP,DF,Wolves,20-068,2002,5,0.2,0,0,0.2,0.8,0,3.6,1,1.4,0,0,0,5.2,0.6,0.8,42.9,Matches,bfc3b3a0
61,Dan Burn,eng ENG,DF,Newcastle Utd,30-200,1992,13.6,0.15,0,0,1.1,0.07,0.29,0.29,1.1,0.88,0,0.07,0,4.26,2.35,1.03,69.6,Matches,b2d31e83
63,Moisés Caicedo,ec ECU,MF,Brighton,21-023,2001,13.8,0.29,0,0,2.17,1.52,0,0.65,1.38,1.38,0,0,0,5.94,1.16,0.65,64,Matches,16264a81
65,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-069,1996,5.4,0.19,0,0,0.93,0.19,0,0,1.67,0.74,0,0,0,4.44,0.74,1.48,33.3,Matches,94f8d10c
68,João Cancelo,pt POR,DF,Manchester City,28-182,1994,12.4,0.24,0.08,0,0.81,1.13,0.32,3.15,1.37,1.61,0,0.16,0,6.05,1.94,0.81,70.6,Matches,bd6351cd
73,Casemiro,br BRA,MF,Manchester Utd,30-275,1992,7.9,0.25,0,0,2.53,1.14,0,1.14,1.65,2.03,0,0,0,7.34,2.91,1.39,67.6,Matches,4d224fe8
74,Matty Cash,pl POL,DF,Aston Villa,25-110,1997,11.4,0.26,0,0,0.96,0.7,0.18,2.98,1.58,1.23,0,0.09,0,4.65,0.53,0.53,50,Matches,2389cdc2
75,Timothy Castagne,be BEL,DF,Leicester City,26-355,1995,13.2,0,0,0,0.91,0.3,0.15,2.27,1.06,1.36,0,0,0,4.85,1.59,1.89,45.7,Matches,197640fd
76,Jonny Castro,es ESP,DF,Wolves,28-267,1994,10.9,0.28,0,0,0.83,1.47,0.09,1.56,1.01,0.92,0,0,0,6.61,1.01,1.1,47.8,Matches,e28868f3
79,Trevoh Chalobah,eng ENG,DF,Chelsea,23-143,1999,8,0.13,0,0,0.5,0.13,0,0.25,1,1,0,0,0.13,5,1.63,1.63,50,Matches,5515376c
82,Ryan Christie,sct SCO,MFFW,Bournemouth,27-276,1995,8,0.13,0,0,2,2.38,0,0.25,1,1.63,0,0,0,6.38,0.5,1.25,28.6,Matches,26ce2263
85,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31-234,1991,6.4,0.16,0,0,0.31,0.16,0,0.78,0.78,0.78,0,0,0,3.28,0.47,0.94,33.3,Matches,0442183b
86,Conor Coady,eng ENG,DF,Everton,29-273,1993,13.9,0.07,0,0,0.5,0.72,0.07,0.07,0.58,0.36,0,0,0,4.1,1.01,1.15,46.7,Matches,2928dca2
88,Séamus Coleman,ie IRL,DF,Everton,34-045,1988,6.7,0,0,0,0.45,0.75,0,0.75,1.34,1.49,0,0,0,5.37,0.9,0.75,54.5,Matches,0420d84f
89,Nathan Collins,ie IRL,DF,Wolves,21-209,2001,11.4,0.18,0.09,0,0.88,0.44,0,0,1.14,0.61,0,0,0,5.18,1.32,1.32,50,Matches,a8c19eb8
91,Lewis Cook,eng ENG,MF,Bournemouth,25-295,1997,13.3,0.15,0,0,0.75,0.45,0,2.11,1.05,1.2,0,0,0,7.44,0.38,0.53,41.7,Matches,2afc7272
92,Steve Cook,eng ENG,DF,Nott'ham Forest,31-220,1991,10.6,0.38,0,0,0.47,0.19,0,0.09,1.13,0.38,0,0.09,0,3.3,2.55,0.94,73,Matches,3e5e4e63
93,Liam Cooper,sct SCO,DF,Leeds United,31-087,1991,7.5,0.13,0,0,0.53,0.53,0,0,2.13,1.07,0,0,0,6.93,3.2,1.87,63.2,Matches,dc64b8b3
96,Vladimír Coufal,cz CZE,DFMF,West Ham,30-095,1992,7.6,0.13,0,0,0.92,0.92,0,5.39,1.97,1.18,0,0,0,4.87,1.32,0.92,58.8,Matches,fdf3cb77
97,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-166,1992,6.3,0.32,0,0,1.75,1.27,0.32,2.7,0.32,0.95,0,0,0,4.29,0.48,1.43,25,Matches,0ef89a37
99,Aaron Cresswell,eng ENG,DF,West Ham,32-345,1989,13.8,0.14,0,0,0.51,0.36,0.07,5.87,1.01,0.43,0,0,0,4.93,1.59,0.94,62.9,Matches,4f974391
100,Marc Cucurella,es ESP,DF,Chelsea,24-126,1998,9.4,0.21,0,0,1.06,0.85,0.11,3.83,0.74,1.06,0,0,0,5.74,0.74,0.85,46.7,Matches,1daec722
