Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
355,Tommaso Pobega,it ITA,MF,Milan,23-133,1999,5,0.2,0,0,3,0.8,0,0.2,1.2,1.2,0,0,0,5,1,1.8,35.7,Matches,55a1cac2
400,Riccardo Saponara,it ITA,FWMF,Fiorentina,30-339,1991,5,0.2,0,0,0.4,1.6,0.2,2.6,0.2,0.4,0,0,0,5,0.6,0.6,50,Matches,3bb7af3b
458,Simone Verdi,it ITA,MF,Hellas Verona,30-136,1992,5,0,0,0,0.8,1.4,0.2,8,0,0.6,0,0,0,6.2,0.6,0.8,42.9,Matches,0375723e
469,Mërgim Vojvoda,xk KVX,DF,Torino,27-297,1995,5,0.2,0,0,1.2,0.2,0,2.6,0.8,1.2,0,0,0,5.8,0.4,1,28.6,Matches,be2706c0
124,Mattia De Sciglio,it ITA,DF,Juventus,30-036,1992,5.1,0,0,0,0.2,0.78,0,1.96,0.39,0.98,0,0,0,4.51,1.18,1.37,46.2,Matches,ae4e2852
136,Mattia Destro,it ITA,FW,Empoli,31-250,1991,5.1,0.39,0,0,1.76,0.59,1.37,0.2,0.2,0.2,0,0.2,0,1.18,1.18,3.14,27.3,Matches,d7d32194
437,Filippo Terracciano,it ITA,DFMF,Hellas Verona,19-290,2003,5.1,0,0,0,0.78,1.96,0,2.55,0.59,1.18,0,0,0,4.9,1.96,2.16,47.6,Matches,5cbb5ad6
105,Lorenzo Colombo,it ITA,FW,Lecce,20-262,2002,5.2,0.38,0,0,2.88,0.96,0.77,0.19,0.19,0.38,0,0,0,2.5,2.5,9.04,21.7,Matches,04df29a5
121,Paweł Dawidowicz,pl POL,DF,Hellas Verona,27-189,1995,5.2,0.38,0.19,0,2.69,0.58,0,0.96,0.58,1.15,0,0,0,6.15,2.5,1.15,68.4,Matches,16bb656a
241,Rade Krunić,ba BIH,MFFW,Milan,29-049,1993,5.2,0.38,0,0,0.77,0.58,0,0.58,1.35,1.15,0,0,0,5.19,1.15,1.54,42.9,Matches,817c6964
319,Tanguy Ndombele,fr FRA,MF,Napoli,25-332,1996,5.2,0.38,0,0,1.54,2.69,0,0,0.58,0.58,0,0.19,0,4.62,0.77,0.38,66.7,Matches,5cdddffa
170,Davide Faraoni,it ITA,DF,Hellas Verona,31-031,1991,5.3,0.57,0,0,0.75,0,0,2.64,1.13,0.94,0,0,0,4.34,0.57,0.57,50,Matches,aae9d04a
202,Matheus Henrique,br BRA,MF,Sassuolo,24-341,1997,5.4,0.37,0,0,0.74,1.11,0,0,0.93,0.93,0,0,0,3.89,0.74,0.37,66.7,Matches,a2d9f138
233,Moise Kean,it ITA,FW,Juventus,22-270,2000,5.4,0.37,0,0,1.67,2.04,0.74,0.37,0.74,1.11,0,0,0,3.7,0.56,1.3,30,Matches,3d50bcdb
23,Arthur,br BRA,FW,Fiorentina,24-214,1998,5.5,0.18,0,0,0.73,0.91,0.18,0.18,0,0.36,0,0,0,2,3.27,3.45,48.6,Matches,a820e429
109,Diego Coppola,it ITA,DF,Hellas Verona,18-332,2003,5.5,0.55,0,0,1.09,0,0,0.36,1.27,1.27,0,0.18,0,5.82,2.55,2.55,50,Matches,22ae86f9
120,Matteo Darmian,it ITA,DF,Inter,32-358,1989,5.5,0.36,0,0,0.91,1.82,0.36,2,0.18,2,0,0,0,4.73,0.73,1.09,40,Matches,96e0490d
149,Josh Doig,sct SCO,DF,Hellas Verona,20-191,2002,5.5,0,0,0,0.73,0.55,0.36,4.73,1.09,0.55,0,0,0,5.45,1.09,0.73,60,Matches,2f69d881
162,Albin Ekdal,se SWE,MF,Spezia,33-120,1989,5.5,0.55,0.18,0.18,1.64,2,0,0.18,0.91,1.27,0,0,0,6.91,1.09,1.09,50,Matches,f503ea63
25,Kristoffer Askildsen,no NOR,MF,Lecce,21-320,2001,5.6,0.36,0,0,1.61,0.89,0.18,3.39,1.43,0.36,0,0.18,0,5,1.96,2.14,47.8,Matches,a69cc629
70,Domagoj Bradarić,hr CRO,DF,Salernitana,22-350,1999,5.6,0.18,0,0,0.89,0.89,0.36,5.18,0.71,0.71,0,0,0,4.46,0.71,0.71,50,Matches,8bbe2df5
22,Tolgay Arslan,de GER,MF,Udinese,32-101,1990,5.7,0.18,0,0,1.58,2.46,0,1.05,1.23,1.23,0,0,0,5.09,0.53,0.18,75,Matches,963a328b
173,Lewis Ferguson,sct SCO,MF,Bologna,23-093,1999,5.7,0.18,0,0,2.28,2.28,0,0.53,1.23,0.88,0,0,0,4.91,1.05,1.93,35.3,Matches,ee64a822
223,Juan Jesus,br BRA,DF,Napoli,31-168,1991,5.7,0.18,0,0,0.53,0.18,0,0,1.05,0.88,0,0,0,5.09,2.81,0.53,84.2,Matches,79083382
370,Giacomo Raspadori,it ITA,FWMF,Napoli,22-280,2000,5.7,0.18,0,0,0.53,0.7,0.18,1.75,0.35,0.88,0,0,0,3.33,0.18,0.53,25,Matches,6e058f06
484,Duván Zapata,co COL,FW,Atalanta,31-238,1991,5.7,0.18,0,0,1.23,1.93,0.7,1.05,0,0.18,0.18,0,0,1.93,3.33,3.16,51.4,Matches,d3de9af0
78,Davide Calabria,it ITA,DF,Milan,25-354,1996,5.8,0.34,0,0,0.86,1.03,0.17,2.76,2.07,2.59,0.17,0,0,6.21,0.69,0.52,57.1,Matches,2146785a
125,Lorenzo De Silvestri,it ITA,DF,Bologna,34-186,1988,5.8,0.17,0,0,0.69,0.86,0.34,1.03,0.34,0.34,0,0,0.17,4.83,1.55,1.38,52.9,Matches,e74f0e59
208,Martin Hongla,cm CMR,MF,Hellas Verona,24-254,1998,5.8,0.69,0,0,1.9,0.69,0,1.38,1.03,0.86,0,0,0,8.28,0.86,1.38,38.5,Matches,b85bf253
313,Luis Muriel,co COL,FW,Atalanta,31-223,1991,5.8,0.34,0.17,0.17,1.38,1.03,0.34,4.14,0,0.52,0.17,0,0,2.59,1.03,2.41,30,Matches,eb2fe5b6
420,Brandon Soppy,fr FRA,DF,Atalanta,20-277,2002,5.8,0.34,0,0,2.41,2.59,0.17,2.07,0.34,0.52,0.17,0,0,7.41,0.34,0.34,50,Matches,28f66c2e
126,Koni De Winter,be BEL,DF,Empoli,20-166,2002,5.9,0.51,0,0,1.36,0.34,0,0,1.02,0.85,0,0,0,3.9,1.53,1.02,60,Matches,f4797849
347,Andrea Petagna,it ITA,FW,Monza,27-148,1995,5.9,0,0,0,1.53,1.19,0.68,0.17,0.34,0.51,0,0,0,2.03,0.85,1.02,45.5,Matches,03f946ed
394,Lazar Samardzic,de GER,MF,Udinese,20-274,2002,5.9,0,0,0,1.36,1.19,0,3.56,1.19,1.02,0,0,0,7.12,0.51,1.86,21.4,Matches,217c93a1
427,Marco Sportiello,it ITA,GK,Atalanta,30-199,1992,5.9,0,0,0,0,0.17,0,0,0,0,0,0,0,1.86,0.17,0,100,Matches,ac4003af
461,Ronaldo Vieira,gw GNB,MF,Sampdoria,24-129,1998,5.9,0.17,0,0,1.86,1.02,0,0,1.53,1.36,,,0,,,,,Matches,75e60d75
92,Marco Carnesecchi,it ITA,GK,Cremonese,22-147,2000,6,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,,Matches,8ec56e62
165,Elif Elmas,mk MKD,FWMF,Napoli,23-062,1999,6,0.17,0,0,0.83,0.67,0.17,1,1,0.5,0,0,0,3.67,0.17,1,14.3,Matches,cf007308
276,Ruslan Malinovskyi,ua UKR,MFFW,Atalanta,29-205,1993,6,0.33,0,0,1.67,1.67,0,3.67,0.83,1.33,0,0,0,8.67,0.67,1.17,36.4,Matches,48d5bd33
10,Luis Alberto,es ESP,MF,Lazio,30-058,1992,6.1,0.16,0,0,0.66,0.33,0,5.08,0.33,0.49,0,0,0,6.07,0.33,0.66,33.3,Matches,5294a83f
29,Kaan Ayhan,tr TUR,DF,Sassuolo,28-015,1994,6.1,0.16,0,0,0.66,1.31,0,0,0.82,0.66,0,0,0,4.59,0.33,1.15,22.2,Matches,2200181e
230,Rick Karsdorp,nl NED,DF,Roma,27-287,1995,6.1,0,0,0,0.33,0,0.16,1.97,0.98,1.8,0,0,0,5.74,0.66,0.16,80,Matches,9f84febe
167,Gonzalo Escalante,ar ARG,MF,Cremonese,29-243,1993,6.2,0,0.16,0,0.97,0.81,0,0.16,1.61,1.29,0,0,0,6.29,1.45,1.45,50,Matches,3f79a1c8
365,Ivan Radovanović,rs SRB,MF,Salernitana,34-088,1988,6.2,0.16,0.16,0,0.48,0.97,0,0,1.13,0.48,0,0,0,6.29,1.13,0.97,53.8,Matches,023937a9
7,Ola Aina,ng NGA,DF,Torino,26-048,1996,6.4,0.47,0,0,1.56,1.72,0.16,3.13,1.09,1.56,0,0.16,0,5.63,1.25,0.94,57.1,Matches,246d153b
122,Charles De Ketelaere,be BEL,MFFW,Milan,21-260,2001,6.4,0.31,0,0,0.94,1.25,0,1.09,0.31,0.47,0,0,0,5,1.56,2.03,43.5,Matches,2ef7c612
178,Manolo Gabbiadini,it ITA,MFFW,Sampdoria,30-364,1991,6.4,0.31,0,0,1.56,2.97,0.78,2.03,0.16,0,0,0,0,2.19,2.34,3.59,39.5,Matches,8f866fe8
269,Charalambos Lykogiannis,gr GRE,DF,Bologna,29-034,1993,6.5,0.31,0,0,1.08,0.62,0.15,5.54,1.69,0.77,0,0,0,3.23,1.54,1.69,47.6,Matches,5efc5389
345,Mattia Perin,it ITA,GK,Juventus,30-015,1992,6.5,0,0,0,0,0.15,0,0,0,0,0,0,0,1.85,0,0,,Matches,4c62d0c8
155,Paulo Dybala,ar ARG,MF,Roma,29-010,1993,6.6,0.3,0,0,0.61,2.58,0.15,3.33,0.61,0.15,0.15,0,0,5,0.3,0.45,40,Matches,e0921a4f
200,Liam Henderson,sct SCO,MF,Empoli,26-214,1996,6.6,0.61,0,0,3.64,0.91,0.3,2.58,1.06,0.91,0,0,0,5.15,0.45,0.61,42.9,Matches,d7918b13
479,Nicola Zalewski,pl POL,DF,Roma,20-306,2002,6.6,0,0,0,0.61,1.36,0.15,3.64,1.06,0.61,0,0,0,4.85,0.3,0.61,33.3,Matches,45191c29
66,Leonardo Bonucci,it ITA,DF,Juventus,35-208,1987,6.7,0.15,0,0,1.19,0.6,0.15,0,1.19,0.45,0,0,0,5.37,1.64,1.94,45.8,Matches,52ec54d0
79,Mattia Caldara,it ITA,DF,Spezia,28-204,1994,6.7,0.3,0,0,1.19,1.04,0,0.15,1.64,0.9,0,0,0,6.42,1.34,1.64,45,Matches,ac7e640b
221,Armando Izzo,it ITA,DF,Monza,30-268,1992,6.7,0.3,0,0,1.79,1.94,0.15,0.45,1.94,2.24,0,0,0,5.67,2.39,1.34,64,Matches,89976232
311,Dany Mota,pt POR,FW,Monza,24-207,1998,6.7,0.15,0,0,1.49,1.04,0.75,2.39,0.15,0.6,0.15,0,0,2.24,1.64,3.58,31.4,Matches,efc9e31f
356,Matteo Politano,it ITA,FW,Napoli,29-114,1993,6.7,0.15,0,0,0.9,1.64,0.15,4.93,0.75,1.04,0,0,0,5.37,0.45,0.3,60,Matches,5e861944
216,Ivan Ilić,rs SRB,MF,Hellas Verona,21-253,2001,6.8,0.15,0,0,1.18,1.18,0,5.74,0.74,0.88,0,0,0,8.38,0.88,1.32,40,Matches,bb376bed
4,Michel Aebischer,ch SUI,FWMF,Bologna,25-323,1997,6.9,0.29,0,0,1.01,1.88,0.58,0.72,0.29,0.14,0.14,0.14,0,4.78,0.72,1.16,38.5,Matches,f9c927de
73,Marcelo Brozović,hr CRO,MF,Inter,30-009,1992,6.9,0.72,0,0,1.3,0.29,0,1.01,1.74,0.72,0,0,0,6.23,0,0.58,0,Matches,33b8d077
